group_id,area_id
general_mon_thu,area_be98197bba90
general_mon_thu,area_a67a45d1a5e9
general_mon_thu,area_e82e7943e9e1
general_mon_thu,area_2b0a84718875
general_mon_thu,area_91758304ae13
general_mon_thu,area_68225e1100e1
general_mon_thu,area_f429c83ef559
general_mon_thu,area_76e801e41171
general_mon_thu,area_34e216458fc6
general_mon_thu,area_280acfa79fad
general_mon_thu,area_06b84b69b04a
general_mon_thu,area_e339205ab4cb
general_mon_thu,area_0650a5c7ad8d
general_mon_thu,area_c6dfe93e1334
general_mon_thu,area_cdba10e12965
general_mon_thu,area_ca8adb2dd0ae
general_mon_thu,area_9153f9704039
general_mon_thu,area_56c56614b69e
general_tue_fri,area_17aa59e9d42e
general_tue_fri,area_81ee12d32d3f
general_tue_fri,area_6beda6327b58
general_tue_fri,area_30db10eb1d01
general_tue_fri,area_a8e92fc18fe2
general_tue_fri,area_9c7e0f710979
general_tue_fri,area_1b5c033e7211
general_tue_fri,area_401c1bf05d88
general_tue_fri,area_36d3bace053f
general_tue_fri,area_d5baa8712e45
general_tue_fri,area_11691b02db4f
general_tue_fri,area_48bb08bffa4b
general_tue_fri,area_21c7f291025e
general_tue_fri,area_efec9fbfad17
general_tue_fri,area_dcc2dca14e7d
general_tue_fri,area_d4bee83dff7a
general_tue_fri,area_5486bf398dfb
general_tue_fri,area_845cc9affe42
general_tue_fri,area_44318afe5516
general_tue_fri,area_86f838d95caa
general_tue_fri,area_fea328d2cbb2
general_tue_fri,area_6656be2076cc
general_tue_fri,area_d42fa7a42b93
first_wed_group,area_be98197bba90
first_wed_group,area_a67a45d1a5e9
first_wed_group,area_e82e7943e9e1
first_wed_group,area_2b0a84718875
first_wed_group,area_91758304ae13
first_wed_group,area_68225e1100e1
first_wed_group,area_f429c83ef559
first_wed_group,area_76e801e41171
first_wed_group,area_34e216458fc6
first_wed_group,area_280acfa79fad
first_wed_group,area_06b84b69b04a
first_wed_group,area_e339205ab4cb
first_wed_group,area_0650a5c7ad8d
first_wed_group,area_17aa59e9d42e
first_wed_group,area_81ee12d32d3f
first_wed_group,area_6beda6327b58
first_wed_group,area_30db10eb1d01
first_wed_group,area_a8e92fc18fe2
first_wed_group,area_9c7e0f710979
first_wed_group,area_1b5c033e7211
