source_id,source_type,title,url,file_path,fetched_at,sha256
src_pdf_r7,pdf,家庭ごみ収集日と分け方 2025（令和7）年4月～2026（令和8）年3月,,reference_materials/2025年度版家庭ごみ収集日と分け方_20260121取得.pdf,2026-01-21,
src_web_dict,web,分別辞典,https://gb.hn-kouiki.jp/nonoichi,,2026-01-23 06:49:34,
